Year,Location,Province,EarningBracket ($),NoContributers
2016,Y.T.,Yukon,85000 - 89999,759
2016,Y.T.,Yukon,90000 - 94999,707
2016,Y.T.,Yukon,95000 - 99999,"3,132"
2016,Y.T.,Yukon,"100,000+",
2017,Y.T.,Yukon,$0 - $3499,469
2017,Y.T.,Yukon,$3500 -$ 4999,491
2017,Y.T.,Yukon,5000 - 9999,"1,525"
2017,Y.T.,Yukon,10000 - 14999,"1,535"
2017,Y.T.,Yukon,15000 - 19999,"1,379"
2017,Y.T.,Yukon,20000 - 24999,"1,335"
2017,Y.T.,Yukon,25000 - 29999,"1,380"
2017,Y.T.,Yukon,30000 - 34999,"1,245"
2017,Y.T.,Yukon,35000 - 39999,"1,117"
2017,Y.T.,Yukon,40000 - 44999,"1,132"
2017,Y.T.,Yukon,45000 - 48299,"1,058"
2017,Y.T.,Yukon,48300 - 49999,"1,031"
2017,Y.T.,Yukon,50000 - 54999,272
2017,Y.T.,Yukon,55000 - 59999,962
2017,Y.T.,Yukon,60000 - 64999,955
2017,Y.T.,Yukon,65000 - 69999,"1,000"
2017,Y.T.,Yukon,70000 - 74999,942
2017,Y.T.,Yukon,75000 - 79999,843
2017,Y.T.,Yukon,80000 - 84999,818
2017,Y.T.,Yukon,85000 - 89999,818
2017,Y.T.,Yukon,90000 - 94999,681
2017,Y.T.,Yukon,95000 - 99999,"3,543"
2017,Y.T.,Yukon,"100,000+",
2018,Y.T.,Yukon,$0 - $3499,394
2018,Y.T.,Yukon,$3500 -$ 4999,460
2018,Y.T.,Yukon,5000 - 9999,"1,405"
2018,Y.T.,Yukon,10000 - 14999,"1,428"
2018,Y.T.,Yukon,15000 - 19999,"1,318"
2018,Y.T.,Yukon,20000 - 24999,"1,315"
2018,Y.T.,Yukon,25000 - 29999,"1,291"
2018,Y.T.,Yukon,30000 - 34999,"1,275"
2018,Y.T.,Yukon,35000 - 39999,"1,251"
2018,Y.T.,Yukon,40000 - 44999,"1,136"
2018,Y.T.,Yukon,45000 - 48299,"1,104"
2018,Y.T.,Yukon,48300 - 49999,"1,106"
2018,Y.T.,Yukon,50000 - 54999,398
2018,Y.T.,Yukon,55000 - 59999,897
2018,Y.T.,Yukon,60000 - 64999,"1,005"
2018,Y.T.,Yukon,65000 - 69999,986
2018,Y.T.,Yukon,70000 - 74999,948
2018,Y.T.,Yukon,75000 - 79999,942
2018,Y.T.,Yukon,80000 - 84999,883
2018,Y.T.,Yukon,85000 - 89999,797
2018,Y.T.,Yukon,90000 - 94999,768
2018,Y.T.,Yukon,95000 - 99999,"4,025"
2018,Y.T.,Yukon,"100,000+",
2019,Y.T.,Yukon,$0 - $3499,444
2019,Y.T.,Yukon,$3500 -$ 4999,410
2019,Y.T.,Yukon,5000 - 9999,"1,383"
2019,Y.T.,Yukon,10000 - 14999,"1,453"
2019,Y.T.,Yukon,15000 - 19999,"1,312"
2019,Y.T.,Yukon,20000 - 24999,"1,308"
2019,Y.T.,Yukon,25000 - 29999,"1,278"
2019,Y.T.,Yukon,30000 - 34999,"1,225"
2019,Y.T.,Yukon,35000 - 39999,"1,172"
2019,Y.T.,Yukon,40000 - 44999,"1,120"
2019,Y.T.,Yukon,45000 - 48299,"1,072"
2019,Y.T.,Yukon,48300 - 49999,"1,028"
2019,Y.T.,Yukon,50000 - 54999,710
2019,Y.T.,Yukon,55000 - 59999,601
2019,Y.T.,Yukon,60000 - 64999,"1,061"
2019,Y.T.,Yukon,65000 - 69999,993
2019,Y.T.,Yukon,70000 - 74999,970
2019,Y.T.,Yukon,75000 - 79999,926
2019,Y.T.,Yukon,80000 - 84999,897
2019,Y.T.,Yukon,85000 - 89999,812
2019,Y.T.,Yukon,90000 - 94999,774
2019,Y.T.,Yukon,95000 - 99999,"4,692"
2019,Y.T.,Yukon,"100,000+",
2011,N.W.T.,Northwest Territories,$0 - $3499,540
2011,N.W.T.,Northwest Territories,$3500 -$ 4999,681
2011,N.W.T.,Northwest Territories,5000 - 9999,"1,978"
2011,N.W.T.,Northwest Territories,10000 - 14999,"1,655"
2011,N.W.T.,Northwest Territories,15000 - 19999,"1,421"
2011,N.W.T.,Northwest Territories,20000 - 24999,"1,358"
2011,N.W.T.,Northwest Territories,25000 - 29999,"1,197"
2011,N.W.T.,Northwest Territories,30000 - 34999,"1,116"
2011,N.W.T.,Northwest Territories,35000 - 39999,"1,065"
2011,N.W.T.,Northwest Territories,40000 - 44999,"1,035"
2011,N.W.T.,Northwest Territories,45000 - 48299,788
2011,N.W.T.,Northwest Territories,48300 - 49999,893
2011,N.W.T.,Northwest Territories,50000 - 54999,"1,042"
2011,N.W.T.,Northwest Territories,55000 - 59999,912
2011,N.W.T.,Northwest Territories,60000 - 64999,"1,008"
2011,N.W.T.,Northwest Territories,65000 - 69999,922
2011,N.W.T.,Northwest Territories,70000 - 74999,962
2011,N.W.T.,Northwest Territories,75000 - 79999,886
2011,N.W.T.,Northwest Territories,80000 - 84999,958
2011,N.W.T.,Northwest Territories,85000 - 89999,884
2011,N.W.T.,Northwest Territories,90000 - 94999,923
2011,N.W.T.,Northwest Territories,95000 - 99999,"5,427"
2011,N.W.T.,Northwest Territories,"100,000+","1,532"
2012,N.W.T.,Northwest Territories,$0 - $3499,827
2012,N.W.T.,Northwest Territories,$3500 -$ 4999,728
2012,N.W.T.,Northwest Territories,5000 - 9999,"1,870"
2012,N.W.T.,Northwest Territories,10000 - 14999,"1,661"
2012,N.W.T.,Northwest Territories,15000 - 19999,"1,420"
2012,N.W.T.,Northwest Territories,20000 - 24999,"1,256"
2012,N.W.T.,Northwest Territories,25000 - 29999,"1,095"
2012,N.W.T.,Northwest Territories,30000 - 34999,"1,084"
2012,N.W.T.,Northwest Territories,35000 - 39999,"1,039"
2012,N.W.T.,Northwest Territories,40000 - 44999,"1,027"
2012,N.W.T.,Northwest Territories,45000 - 48299,"1,192"
2012,N.W.T.,Northwest Territories,48300 - 49999,149
2012,N.W.T.,Northwest Territories,50000 - 54999,"1,251"
2012,N.W.T.,Northwest Territories,55000 - 59999,893
2012,N.W.T.,Northwest Territories,60000 - 64999,913
2012,N.W.T.,Northwest Territories,65000 - 69999,974
2012,N.W.T.,Northwest Territories,70000 - 74999,883
2012,N.W.T.,Northwest Territories,75000 - 79999,890
2012,N.W.T.,Northwest Territories,80000 - 84999,935
2012,N.W.T.,Northwest Territories,85000 - 89999,867
2012,N.W.T.,Northwest Territories,90000 - 94999,828
2012,N.W.T.,Northwest Territories,95000 - 99999,"5,950"
2012,N.W.T.,Northwest Territories,"100,000+","1,664"
2013,N.W.T.,Northwest Territories,$0 - $3499,586
2013,N.W.T.,Northwest Territories,$3500 -$ 4999,662
2013,N.W.T.,Northwest Territories,5000 - 9999,"1,866"
2013,N.W.T.,Northwest Territories,10000 - 14999,"1,583"
2013,N.W.T.,Northwest Territories,15000 - 19999,"1,441"
2013,N.W.T.,Northwest Territories,20000 - 24999,"1,260"
2013,N.W.T.,Northwest Territories,25000 - 29999,"1,154"
2013,N.W.T.,Northwest Territories,30000 - 34999,"1,146"
2013,N.W.T.,Northwest Territories,35000 - 39999,"1,094"
2013,N.W.T.,Northwest Territories,40000 - 44999,"1,084"
2013,N.W.T.,Northwest Territories,45000 - 48299,"1,064"
